,CO,C=O,CN,C=N,C#N
666,8,8,3,1,0
667,2,1,0,0,0
668,2,1,0,0,0
669,2,1,0,0,0
670,1,1,0,0,0
671,4,0,0,0,0
672,1,1,3,0,0
673,0,0,2,0,0
674,0,0,0,0,0
675,4,0,0,0,0
676,3,1,0,0,0
677,4,0,0,0,0
678,0,0,0,0,0
679,1,0,0,0,0
680,0,0,1,0,0
681,1,3,1,0,0
682,3,1,0,0,0
683,11,0,0,0,0
684,9,1,0,0,0
685,10,0,0,0,0
686,4,0,0,0,0
687,4,0,0,0,0
688,4,0,0,0,0
689,1,1,3,1,0
690,2,1,0,0,0
691,6,6,6,0,0
692,2,0,0,0,0
693,0,0,0,1,0
694,4,1,0,0,0
695,4,1,0,0,0
696,3,1,0,0,0
697,0,1,0,0,0
698,0,1,0,0,0
699,1,0,1,0,0
700,2,2,0,0,0
701,1,0,0,0,0
702,9,0,0,0,0
703,9,0,1,0,0
704,9,0,1,0,0
705,1,0,0,0,0
706,1,0,0,0,0
707,1,0,0,0,0
708,2,1,0,0,0
709,4,0,0,0,0
710,4,0,1,0,0
711,0,1,0,0,0
712,0,1,1,0,0
713,7,3,4,0,0
714,6,9,8,0,0
715,7,0,0,0,0
716,7,0,0,0,0
717,7,0,0,0,0
718,7,0,0,0,0
719,6,2,3,0,0
720,6,2,3,0,0
721,7,1,0,0,0
722,2,2,0,0,0
723,3,1,0,0,0
724,1,1,4,0,0
725,7,3,8,0,0
726,0,0,0,0,0
727,0,0,0,0,0
728,2,1,0,0,0
729,5,0,0,0,0
730,10,1,0,0,0
731,12,0,0,0,0
732,5,0,0,0,0
733,1,0,0,0,0
734,1,0,0,0,0
735,6,1,0,0,0
736,7,0,0,0,0
737,1,2,2,0,0
738,6,0,1,0,0
739,6,0,1,0,0
740,8,4,4,0,0
741,1,2,1,0,0
742,2,2,0,0,0
743,8,4,4,0,0
744,2,4,5,0,0
745,2,4,5,0,0
746,2,4,5,0,0
747,2,4,5,0,0
748,1,4,10,0,0
749,1,1,1,0,0
750,2,1,0,0,0
751,3,1,0,0,0
752,3,0,0,0,0
753,3,0,0,0,0
754,4,2,2,0,0
755,1,1,0,0,0
756,2,1,0,0,0
757,31,6,11,0,0
758,25,5,9,0,0
759,1,2,0,0,0
760,5,0,0,0,0
761,5,0,0,0,0
762,1,1,3,1,0
763,0,0,0,0,0
764,5,0,0,0,0
765,5,0,0,0,0
766,2,1,0,0,0
767,0,0,0,0,1
768,2,1,0,0,0
769,3,2,8,0,0
770,3,2,8,0,0
771,26,3,3,0,0
772,1,1,1,0,0
773,0,0,1,0,0
774,0,1,1,0,0
775,1,0,1,0,0
776,1,0,0,0,0
777,1,1,1,0,0
778,2,1,1,0,0
779,1,1,0,0,0
780,0,0,0,0,1
781,1,3,4,0,0
782,0,0,0,0,0
783,0,0,0,0,0
784,0,0,0,0,0
785,2,0,0,0,0
786,0,0,0,0,0
787,9,8,0,0,0
788,0,0,1,0,0
789,0,0,0,0,0
790,1,1,1,0,0
791,1,1,0,0,0
792,2,1,0,0,0
793,1,2,0,0,0
794,0,0,0,0,0
795,2,2,0,1,0
796,5,0,0,0,0
797,0,0,0,0,0
798,3,0,0,0,0
799,0,1,0,0,0
800,1,1,0,0,0
801,1,1,0,0,0
802,1,2,0,0,0
803,5,0,0,0,0
804,6,0,0,0,0
805,6,0,0,0,0
806,0,0,0,0,0
807,7,3,4,0,0
808,5,2,0,0,0
809,7,3,4,0,0
810,2,2,0,0,0
811,5,0,0,0,0
812,0,0,0,0,0
813,0,0,0,0,0
814,15,0,4,0,0
815,14,0,5,0,0
816,6,2,0,0,0
817,6,2,0,0,0
818,26,5,4,0,0
819,35,7,4,0,0
820,36,8,4,0,0
821,34,6,4,0,0
822,4,0,4,0,0
823,1,1,1,0,0
824,2,1,2,0,0
825,3,5,6,0,0
826,5,0,0,0,0
827,3,3,5,1,0
828,1,2,1,0,0
829,3,2,1,1,0
830,4,1,2,0,0
831,2,2,1,0,0
832,1,2,4,0,0
833,2,2,2,0,0
834,4,3,0,0,0
835,1,1,1,0,0
836,1,3,2,0,0
837,1,0,2,0,0
838,3,2,1,0,0
839,6,0,0,0,0
840,4,1,0,0,0
841,2,3,3,0,0
842,2,2,1,0,0
843,1,2,1,0,0
844,1,0,1,0,0
845,1,2,1,0,0
846,1,1,1,0,0
847,3,1,0,0,0
848,1,1,2,0,0
849,4,1,0,0,0
850,1,1,1,0,0
851,2,2,1,0,0
852,1,1,1,0,0
853,4,1,0,0,0
854,1,1,0,0,0
855,1,0,0,0,0
856,1,1,1,0,0
857,2,1,0,0,0
858,3,5,5,0,0
859,1,1,0,0,0
860,1,1,1,0,0
861,18,4,4,0,0
862,0,1,1,0,0
863,1,1,0,0,0
864,2,2,2,0,0
865,1,1,2,0,0
866,2,2,0,0,0
867,1,2,0,0,0
868,8,4,4,0,0
869,28,0,0,0,0
870,21,0,0,0,0
871,14,0,0,0,0
872,1,1,0,0,0
873,2,2,0,0,0
874,4,2,0,0,0
875,1,1,1,0,0
876,7,3,4,0,0
877,0,0,0,0,0
878,6,8,7,0,0
879,0,2,0,0,0
880,0,0,0,0,0
881,13,2,4,0,0
882,13,2,4,0,0
883,2,3,7,0,0
884,13,2,5,0,0
885,13,2,5,0,0
886,1,0,0,0,0
887,0,0,0,0,0
888,0,0,0,0,0
889,6,0,0,0,0
890,4,3,0,0,0
891,6,0,0,0,0
892,0,0,0,0,0
893,6,1,1,0,0
894,1,2,3,0,0
895,1,1,2,0,0
896,5,1,3,0,0
897,6,1,2,0,0
898,6,1,2,0,0
899,6,1,2,0,0
900,2,3,2,0,0
901,1,2,3,0,0
902,0,1,2,0,0
903,0,1,1,0,0
904,1,3,2,0,0
905,8,2,2,0,0
906,1,2,3,0,0
907,1,1,2,1,0
908,2,2,2,1,0
909,1,3,2,0,0
910,1,2,2,0,0
911,0,0,2,0,0
912,1,0,2,0,0
913,1,1,2,0,0
914,3,5,2,0,0
915,0,1,7,0,0
916,0,0,5,0,0
917,3,4,2,0,0
918,3,3,2,0,0
919,2,3,3,0,0
920,0,1,6,0,0
921,1,2,3,0,0
922,0,0,0,0,0
923,0,0,0,0,0
924,10,1,1,0,0
925,10,1,1,0,0
926,10,0,0,0,0
927,10,1,4,0,0
928,10,1,1,0,0
929,10,1,4,0,0
930,0,0,0,0,0
931,1,1,0,0,0
932,0,0,0,0,0
933,0,0,0,0,0
934,0,0,0,0,0
935,0,1,1,0,0
936,1,1,0,0,0
937,1,1,0,0,0
938,5,1,1,0,0
939,5,1,1,0,0
940,6,1,0,0,0
941,0,0,3,0,0
942,0,0,0,0,0
943,0,0,0,0,0
944,0,0,0,0,0
945,0,0,0,0,0
946,0,0,0,0,0
947,0,0,0,0,0
948,0,0,2,0,0
949,0,0,2,0,0
950,1,0,1,0,0
951,5,0,0,0,0
952,2,1,1,0,0
953,4,3,1,0,0
954,2,3,0,0,0
955,8,5,4,0,0
956,1,0,0,0,0
957,2,2,0,0,0
958,2,2,0,0,0
959,3,2,0,0,0
960,0,0,0,0,0
961,0,0,0,0,0
962,14,2,2,0,0
963,2,2,0,0,0
964,1,1,0,0,0
965,7,3,4,0,0
966,1,1,0,0,0
967,6,1,0,0,0
968,8,5,4,0,0
969,2,3,0,0,0
970,2,2,0,0,0
971,3,4,0,0,0
972,8,4,4,0,0
973,1,2,1,0,0
974,4,8,10,0,0
975,1,2,0,0,0
976,0,0,0,0,0
977,1,1,0,0,0
978,1,2,0,0,0
979,0,0,0,0,0
980,7,3,2,0,0
981,10,0,0,0,0
982,0,0,0,0,0
983,0,1,0,0,0
984,1,1,0,0,0
985,7,3,4,0,0
986,2,2,4,0,0
987,3,2,2,0,0
988,3,1,0,0,0
989,5,0,0,0,0
990,2,0,0,0,0
991,0,0,0,0,0
992,6,0,0,0,0
993,1,1,1,0,0
994,0,0,0,0,0
995,0,0,0,0,0
996,1,2,0,0,0
997,0,1,0,0,0
998,1,1,0,0,0
